"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-11-21","1,752","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-11-22","1,749","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-11-23","1,763","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-11-24","1,761","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-11-25","1,758","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-11-26","1,755","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-11-27","1,756","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-11-28","1,757","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-11-29","1,758","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-11-30","1,759","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-12-01","1,760","0",0,0,"1,440",0,0,0,"0","Monday"
